"BZ3 Nonlinear Vehicle Dynamics Simulation Frequency Response  WB=2745 SR=20.00"
"TIME, sec";"SPEED, kph";"STEER, deg";"YAWVEL, deg/sec";                                                                                                                                                                                                                                                                                                                                                                            ;
1.100    ;100.000  ;9.967    ;1.587     
1.110    ;100.000  ;9.981    ;1.703     
1.120    ;100.000  ;9.989    ;1.812     
1.130    ;100.000  ;9.994    ;1.913     
1.140    ;100.000  ;9.997    ;2.007     
1.150    ;100.000  ;9.998    ;2.094     
1.160    ;100.000  ;9.999    ;2.175     
1.170    ;100.000  ;9.999    ;2.249     
1.180    ;100.000  ;10.000   ;2.317     
1.190    ;100.000  ;10.000   ;2.379     
1.200    ;100.000  ;10.000   ;2.436     
1.210    ;100.000  ;10.000   ;2.487     
1.220    ;100.000  ;10.000   ;2.533     
1.230    ;100.000  ;10.000   ;2.575     
1.240    ;100.000  ;10.000   ;2.612     
1.250    ;100.000  ;10.000   ;2.645     
1.260    ;100.000  ;10.000   ;2.673     
1.270    ;100.000  ;10.000   ;2.699     
1.280    ;100.000  ;10.000   ;2.720     
1.290    ;100.000  ;10.000   ;2.739     
1.300    ;100.000  ;10.000   ;2.754     
1.310    ;100.000  ;10.000   ;2.767     
1.320    ;100.000  ;10.000   ;2.777     
1.330    ;100.000  ;10.000   ;2.785     
1.340    ;100.000  ;10.000   ;2.791     
1.350    ;100.000  ;10.000   ;2.795     
1.360    ;100.000  ;10.000   ;2.797     
1.370    ;100.000  ;10.000   ;2.797     
1.380    ;100.000  ;10.000   ;2.796     
1.390    ;100.000  ;10.000   ;2.794     
1.400    ;100.000  ;10.000   ;2.791     
1.410    ;100.000  ;10.000   ;2.786     
1.420    ;100.000  ;10.000   ;2.781     
1.430    ;100.000  ;10.000   ;2.775     
1.440    ;100.000  ;10.000   ;2.768     
1.450    ;100.000  ;10.000   ;2.761     
1.460    ;100.000  ;10.000   ;2.753     
1.470    ;100.000  ;10.000   ;2.745     
1.480    ;100.000  ;10.000   ;2.737     
1.490    ;100.000  ;10.000   ;2.728     
1.500    ;100.000  ;10.000   ;2.720     
1.510    ;100.000  ;10.000   ;2.711     
1.520    ;100.000  ;10.000   ;2.702     
1.530    ;100.000  ;10.000   ;2.693     
1.540    ;100.000  ;10.000   ;2.684     
1.550    ;100.000  ;10.000   ;2.676     
1.560    ;100.000  ;10.000   ;2.667     
1.570    ;100.000  ;10.000   ;2.659     
1.580    ;100.000  ;10.000   ;2.651     
1.590    ;100.000  ;10.000   ;2.643     
1.600    ;100.000  ;10.000   ;2.635     
1.610    ;100.000  ;10.000   ;2.627     
1.620    ;100.000  ;10.000   ;2.620     
1.630    ;100.000  ;10.000   ;2.613     
1.640    ;100.000  ;10.000   ;2.606     
1.650    ;100.000  ;10.000   ;2.600     
1.660    ;100.000  ;10.000   ;2.594     
1.670    ;100.000  ;10.000   ;2.588     
1.680    ;100.000  ;10.000   ;2.582     
1.690    ;100.000  ;10.000   ;2.577     
1.700    ;100.000  ;10.000   ;2.572     
1.710    ;100.000  ;10.000   ;2.568     
1.720    ;100.000  ;10.000   ;2.563     
1.730    ;100.000  ;10.000   ;2.559     
1.740    ;100.000  ;10.000   ;2.555     
1.750    ;100.000  ;10.000   ;2.552     
1.760    ;100.000  ;10.000   ;2.548     
1.770    ;100.000  ;10.000   ;2.545     
1.780    ;100.000  ;10.000   ;2.542     
1.790    ;100.000  ;10.000   ;2.540     
1.800    ;100.000  ;10.000   ;2.537     
1.810    ;100.000  ;10.000   ;2.535     
1.820    ;100.000  ;10.000   ;2.533     
1.830    ;100.000  ;10.000   ;2.531     
1.840    ;100.000  ;10.000   ;2.529     
1.850    ;100.000  ;10.000   ;2.528     
1.860    ;100.000  ;10.000   ;2.527     
1.870    ;100.000  ;10.000   ;2.525     
1.880    ;100.000  ;10.000   ;2.524     
1.890    ;100.000  ;10.000   ;2.523     
1.900    ;100.000  ;10.000   ;2.523     
1.910    ;100.000  ;10.000   ;2.522     
1.920    ;100.000  ;10.000   ;2.521     
1.930    ;100.000  ;10.000   ;2.521     
1.940    ;100.000  ;10.000   ;2.521     
1.950    ;100.000  ;10.000   ;2.520     
1.960    ;100.000  ;10.000   ;2.520     
1.970    ;100.000  ;10.000   ;2.520     
1.980    ;100.000  ;10.000   ;2.520     
1.990    ;100.000  ;10.000   ;2.520     
2.000    ;100.000  ;10.000   ;2.520     
2.010    ;100.000  ;10.000   ;2.520     
2.020    ;100.000  ;10.000   ;2.520     
2.030    ;100.000  ;10.000   ;2.520     
2.040    ;100.000  ;10.000   ;2.520     
2.050    ;100.000  ;10.000   ;2.520     
2.060    ;100.000  ;10.000   ;2.521     
2.070    ;100.000  ;10.000   ;2.521     
2.080    ;100.000  ;10.000   ;2.521     
2.090    ;100.000  ;10.000   ;2.521     
2.100    ;100.000  ;10.000   ;2.522     
2.110    ;100.000  ;10.000   ;2.522     
2.120    ;100.000  ;10.000   ;2.522     
2.130    ;100.000  ;10.000   ;2.523     
2.140    ;100.000  ;10.000   ;2.523     
2.150    ;100.000  ;9.999    ;2.523     
2.160    ;100.000  ;9.999    ;2.524     
2.170    ;100.000  ;9.999    ;2.524     
2.180    ;100.000  ;9.999    ;2.524     
2.190    ;100.000  ;9.998    ;2.524     
2.200    ;100.000  ;9.998    ;2.525     
2.210    ;100.000  ;9.998    ;2.525     
2.220    ;100.000  ;9.997    ;2.525     
2.230    ;100.000  ;9.997    ;2.525     
2.240    ;100.000  ;9.996    ;2.525     
2.250    ;100.000  ;9.995    ;2.526     
2.260    ;100.000  ;9.994    ;2.526     
2.270    ;100.000  ;9.993    ;2.526     
2.280    ;100.000  ;9.992    ;2.526     
2.290    ;100.000  ;9.991    ;2.526     
2.300    ;100.000  ;9.990    ;2.526     
2.310    ;100.000  ;9.988    ;2.526     
2.320    ;100.000  ;9.987    ;2.526     
2.330    ;100.000  ;9.985    ;2.526     
2.340    ;100.000  ;9.983    ;2.526     
2.350    ;100.000  ;9.981    ;2.526     
2.360    ;100.000  ;9.979    ;2.526     
2.370    ;100.000  ;9.977    ;2.526     
2.380    ;100.000  ;9.974    ;2.525     
2.390    ;100.000  ;9.971    ;2.525     
2.400    ;100.000  ;9.968    ;2.525     
2.410    ;100.000  ;9.965    ;2.524     
