"BZ3 Nonlinear Vehicle Dynamics Simulation SR= 5.00 WB=1745 mm  WF=80   WR=120  "
"TIME, sec";"LATACC, g";"SIDSLP, deg";"SPEED, kph";"STEER, deg";                                                                                                                                                                                                                                                                                                                                                                    ;
0.890    ;0.146    ;-0.073   ;80.000   ;1.854     
0.900    ;0.148    ;-0.074   ;80.000   ;1.875     
0.910    ;0.150    ;-0.075   ;80.000   ;1.896     
0.920    ;0.151    ;-0.076   ;80.000   ;1.917     
0.930    ;0.153    ;-0.077   ;80.000   ;1.938     
0.940    ;0.155    ;-0.078   ;80.000   ;1.958     
0.950    ;0.157    ;-0.079   ;80.000   ;1.979     
0.960    ;0.159    ;-0.081   ;80.000   ;2.000     
0.970    ;0.161    ;-0.082   ;80.000   ;2.021     
0.980    ;0.162    ;-0.083   ;80.000   ;2.042     
0.990    ;0.164    ;-0.084   ;80.000   ;2.062     
1.000    ;0.166    ;-0.085   ;80.000   ;2.083     
1.010    ;0.168    ;-0.086   ;80.000   ;2.104     
1.020    ;0.170    ;-0.087   ;80.000   ;2.125     
1.030    ;0.172    ;-0.088   ;80.000   ;2.146     
1.040    ;0.174    ;-0.089   ;80.000   ;2.167     
1.050    ;0.175    ;-0.090   ;80.000   ;2.187     
1.060    ;0.177    ;-0.091   ;80.000   ;2.208     
1.070    ;0.179    ;-0.092   ;80.000   ;2.229     
1.080    ;0.181    ;-0.093   ;80.000   ;2.250     
1.090    ;0.183    ;-0.095   ;80.000   ;2.271     
1.100    ;0.185    ;-0.096   ;80.000   ;2.292     
1.110    ;0.187    ;-0.097   ;80.000   ;2.313     
1.120    ;0.188    ;-0.098   ;80.000   ;2.333     
1.130    ;0.190    ;-0.099   ;80.000   ;2.354     
1.140    ;0.192    ;-0.100   ;80.000   ;2.375     
1.150    ;0.194    ;-0.101   ;80.000   ;2.396     
1.160    ;0.196    ;-0.102   ;80.000   ;2.417     
1.170    ;0.198    ;-0.103   ;80.000   ;2.437     
1.180    ;0.200    ;-0.104   ;80.000   ;2.458     
1.190    ;0.202    ;-0.105   ;80.000   ;2.479     
