"BZ3 Nonlinear Vehicle Dynamics Simulation WB=2745mm SR= 20  WF= 1000 kg WR= 600 kg "
"TIME, sec";"LATACC, g";"RUN, RUN";"SIDSLP, deg";"SPEED, kph";"STEER, deg";"YAWVEL, deg/sec";                                                                                                                                                                                                                                                                                                                                       ;
0.620    ;0.032    ;1.000    ;0.009    ;100.000  ;4.993    ;0.884     
0.630    ;0.033    ;1.000    ;0.007    ;100.000  ;4.996    ;0.927     
0.640    ;0.034    ;1.000    ;0.004    ;100.000  ;4.998    ;0.966     
0.650    ;0.035    ;1.000    ;0.001    ;100.000  ;4.999    ;1.001     
0.660    ;0.036    ;1.000    ;-0.002   ;100.000  ;4.999    ;1.033     
0.670    ;0.037    ;1.000    ;-0.005   ;100.000  ;5.000    ;1.062     
0.680    ;0.038    ;1.000    ;-0.008   ;100.000  ;5.000    ;1.087     
0.690    ;0.039    ;1.000    ;-0.011   ;100.000  ;5.000    ;1.110     
0.700    ;0.040    ;1.000    ;-0.015   ;100.000  ;5.000    ;1.129     
0.710    ;0.040    ;1.000    ;-0.018   ;100.000  ;5.000    ;1.146     
0.720    ;0.041    ;1.000    ;-0.021   ;100.000  ;5.000    ;1.161     
0.730    ;0.042    ;1.000    ;-0.025   ;100.000  ;5.000    ;1.173     
0.740    ;0.043    ;1.000    ;-0.028   ;100.000  ;5.000    ;1.183     
0.750    ;0.044    ;1.000    ;-0.031   ;100.000  ;5.000    ;1.190     
0.760    ;0.045    ;1.000    ;-0.034   ;100.000  ;5.000    ;1.197     
0.770    ;0.046    ;1.000    ;-0.037   ;100.000  ;5.000    ;1.201     
0.780    ;0.046    ;1.000    ;-0.039   ;100.000  ;5.000    ;1.204     
0.790    ;0.047    ;1.000    ;-0.042   ;100.000  ;5.000    ;1.205     
0.800    ;0.048    ;1.000    ;-0.044   ;100.000  ;5.000    ;1.205     
0.810    ;0.048    ;1.000    ;-0.047   ;100.000  ;5.000    ;1.204     
0.820    ;0.049    ;1.000    ;-0.049   ;100.000  ;5.000    ;1.202     
0.830    ;0.049    ;1.000    ;-0.051   ;100.000  ;5.000    ;1.199     
0.840    ;0.050    ;1.000    ;-0.053   ;100.000  ;5.000    ;1.195     
0.850    ;0.050    ;1.000    ;-0.055   ;100.000  ;5.000    ;1.191     
0.860    ;0.051    ;1.000    ;-0.056   ;100.000  ;5.000    ;1.185     
0.870    ;0.051    ;1.000    ;-0.058   ;100.000  ;5.000    ;1.180     
0.880    ;0.051    ;1.000    ;-0.059   ;100.000  ;5.000    ;1.174     
0.890    ;0.052    ;1.000    ;-0.060   ;100.000  ;5.000    ;1.168     
0.900    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.161     
0.910    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.154     
0.920    ;0.053    ;1.000    ;-0.064   ;100.000  ;5.000    ;1.148     
0.930    ;0.053    ;1.000    ;-0.064   ;100.000  ;5.000    ;1.141     
0.940    ;0.053    ;1.000    ;-0.065   ;100.000  ;5.000    ;1.134     
0.950    ;0.053    ;1.000    ;-0.066   ;100.000  ;5.000    ;1.127     
0.960    ;0.053    ;1.000    ;-0.066   ;100.000  ;5.000    ;1.120     
0.970    ;0.053    ;1.000    ;-0.067   ;100.000  ;5.000    ;1.114     
0.980    ;0.053    ;1.000    ;-0.067   ;100.000  ;5.000    ;1.107     
0.990    ;0.053    ;1.000    ;-0.067   ;100.000  ;5.000    ;1.101     
1.000    ;0.053    ;1.000    ;-0.067   ;100.000  ;5.000    ;1.095     
1.010    ;0.053    ;1.000    ;-0.068   ;100.000  ;5.000    ;1.089     
1.020    ;0.053    ;1.000    ;-0.068   ;100.000  ;5.000    ;1.084     
1.030    ;0.053    ;1.000    ;-0.068   ;100.000  ;5.000    ;1.079     
1.040    ;0.053    ;1.000    ;-0.068   ;100.000  ;5.000    ;1.074     
1.050    ;0.053    ;1.000    ;-0.068   ;100.000  ;5.000    ;1.069     
1.060    ;0.053    ;1.000    ;-0.067   ;100.000  ;5.000    ;1.065     
1.070    ;0.053    ;1.000    ;-0.067   ;100.000  ;5.000    ;1.061     
1.080    ;0.053    ;1.000    ;-0.067   ;100.000  ;5.000    ;1.057     
1.090    ;0.053    ;1.000    ;-0.067   ;100.000  ;5.000    ;1.053     
1.100    ;0.053    ;1.000    ;-0.067   ;100.000  ;5.000    ;1.050     
1.110    ;0.053    ;1.000    ;-0.067   ;100.000  ;5.000    ;1.047     
1.120    ;0.053    ;1.000    ;-0.066   ;100.000  ;5.000    ;1.045     
1.130    ;0.053    ;1.000    ;-0.066   ;100.000  ;5.000    ;1.042     
1.140    ;0.053    ;1.000    ;-0.066   ;100.000  ;5.000    ;1.040     
1.150    ;0.053    ;1.000    ;-0.066   ;100.000  ;5.000    ;1.038     
1.160    ;0.053    ;1.000    ;-0.065   ;100.000  ;5.000    ;1.037     
1.170    ;0.052    ;1.000    ;-0.065   ;100.000  ;5.000    ;1.036     
1.180    ;0.052    ;1.000    ;-0.065   ;100.000  ;5.000    ;1.034     
1.190    ;0.052    ;1.000    ;-0.065   ;100.000  ;5.000    ;1.034     
1.200    ;0.052    ;1.000    ;-0.064   ;100.000  ;5.000    ;1.033     
1.210    ;0.052    ;1.000    ;-0.064   ;100.000  ;5.000    ;1.032     
1.220    ;0.052    ;1.000    ;-0.064   ;100.000  ;5.000    ;1.032     
1.230    ;0.052    ;1.000    ;-0.064   ;100.000  ;5.000    ;1.032     
1.240    ;0.052    ;1.000    ;-0.064   ;100.000  ;5.000    ;1.032     
1.250    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.032     
1.260    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.032     
1.270    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.033     
1.280    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.033     
1.290    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.034     
1.300    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.034     
1.310    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.035     
1.320    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.035     
1.330    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.036     
1.340    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.037     
1.350    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.038     
1.360    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.039     
1.370    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.039     
1.380    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.040     
1.390    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.041     
1.400    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.042     
1.410    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.042     
1.420    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.043     
1.430    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.044     
1.440    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.045     
1.450    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.045     
1.460    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.046     
1.470    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.046     
1.480    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.047     
1.490    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.047     
1.500    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.048     
1.510    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.048     
1.520    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.048     
1.530    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.049     
1.540    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.049     
1.550    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.049     
1.560    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.049     
1.570    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.050     
1.580    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.050     
1.590    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.050     
1.600    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.050     
1.610    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.050     
1.620    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.050     
1.630    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.050     
1.640    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.050     
1.650    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.050     
1.660    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.050     
1.670    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.049     
1.680    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.049     
1.690    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.049     
1.700    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.049     
1.710    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.049     
1.720    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.049     
1.730    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.049     
1.740    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.048     
1.750    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.048     
1.760    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.048     
1.770    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.048     
1.780    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.048     
1.790    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.048     
1.800    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.047     
1.810    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.047     
1.820    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.047     
1.830    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.047     
1.840    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.047     
1.850    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.047     
1.860    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.047     
1.870    ;0.052    ;1.000    ;-0.063   ;100.000  ;5.000    ;1.047     
1.880    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.046     
1.890    ;0.052    ;1.000    ;-0.062   ;100.000  ;5.000    ;1.046     
