"BZ3 Nonlinear Vehicle Dynamics Simulation Constant Steer Ramp Speed Test  WB=2745 mm"
"TIME, sec";"SPEED, kph";"YAWVEL, deg/sec";                 ;
1.590    ;25.724   ;3.681     
1.600    ;25.760   ;3.686     
1.610    ;25.796   ;3.691     
1.620    ;25.832   ;3.695     
1.630    ;25.868   ;3.700     
1.640    ;25.904   ;3.705     
1.650    ;25.940   ;3.709     
1.660    ;25.976   ;3.714     
1.670    ;26.012   ;3.719     
1.680    ;26.048   ;3.723     
1.690    ;26.084   ;3.728     
1.700    ;26.120   ;3.733     
1.710    ;26.156   ;3.737     
1.720    ;26.192   ;3.742     
1.730    ;26.228   ;3.746     
1.740    ;26.264   ;3.751     
1.750    ;26.300   ;3.756     
1.760    ;26.336   ;3.760     
1.770    ;26.372   ;3.765     
1.780    ;26.408   ;3.770     
1.790    ;26.444   ;3.774     
1.800    ;26.480   ;3.779     
1.810    ;26.516   ;3.784     
1.820    ;26.552   ;3.788     
1.830    ;26.588   ;3.793     
1.840    ;26.624   ;3.797     
1.850    ;26.660   ;3.802     
1.860    ;26.696   ;3.807     
1.870    ;26.732   ;3.811     
1.880    ;26.768   ;3.816     
1.890    ;26.804   ;3.821     
1.900    ;26.840   ;3.825     
1.910    ;26.876   ;3.830     
1.920    ;26.912   ;3.834     
1.930    ;26.948   ;3.839     
1.940    ;26.984   ;3.844     
1.950    ;27.020   ;3.848     
1.960    ;27.056   ;3.853     
1.970    ;27.092   ;3.857     
1.980    ;27.128   ;3.862     
1.990    ;27.164   ;3.867     
2.000    ;27.200   ;3.871     
2.010    ;27.236   ;3.876     
2.020    ;27.272   ;3.880     
2.030    ;27.308   ;3.885     
2.040    ;27.344   ;3.890     
2.050    ;27.380   ;3.894     
2.060    ;27.416   ;3.899     
2.070    ;27.452   ;3.903     
2.080    ;27.488   ;3.908     
2.090    ;27.524   ;3.912     
2.100    ;27.560   ;3.917     
2.110    ;27.596   ;3.922     
2.120    ;27.632   ;3.926     
2.130    ;27.668   ;3.931     
2.140    ;27.704   ;3.935     
2.150    ;27.740   ;3.940     
2.160    ;27.776   ;3.944     
2.170    ;27.812   ;3.949     
2.180    ;27.848   ;3.954     
2.190    ;27.884   ;3.958     
2.200    ;27.920   ;3.963     
2.210    ;27.956   ;3.967     
2.220    ;27.992   ;3.972     
2.230    ;28.028   ;3.976     
2.240    ;28.064   ;3.981     
2.250    ;28.100   ;3.985     
2.260    ;28.136   ;3.990     
2.270    ;28.172   ;3.995     
2.280    ;28.208   ;3.999     
2.290    ;28.244   ;4.004     
2.300    ;28.280   ;4.008     
2.310    ;28.316   ;4.013     
2.320    ;28.352   ;4.017     
2.330    ;28.388   ;4.022     
2.340    ;28.424   ;4.026     
2.350    ;28.460   ;4.031     
2.360    ;28.496   ;4.035     
2.370    ;28.532   ;4.040     
2.380    ;28.568   ;4.045     
2.390    ;28.604   ;4.049     
2.400    ;28.640   ;4.054     
2.410    ;28.676   ;4.058     
2.420    ;28.712   ;4.063     
